application_id,applicant_name,email,phone_number,university,degree,cgpa,submission_time,ip_address,resume_quality_score,application_source,previous_applications
1,Kevin Johnson,miranda66@example.net,(702)327-1481x38254,Stanford,BSE,3.72,2025-05-16 13:22:09,177.141.217.209,54,Mobile,4
2,Victoria Garcia,clarkraymond@example.org,001-434-251-3282x82573,IU,BSAI,3.94,2025-05-18 06:31:39,162.54.14.205,75,Desktop,5
3,Thomas Pace,claudia71@example.net,3817302531,SMIU,BBA,2.71,2025-04-29 19:41:37,209.103.2.201,40,Mobile,1
4,Gregory Guzman,thompsonmichelle@example.net,930-710-0007x1060,MIT,BSE,2.48,2025-05-10 10:11:09,1.58.186.137,63,Desktop,1
5,Amanda Reid,hollydelgado@example.net,001-958-933-5749x351,MIT,BSIT,3.5,2025-05-22 16:12:15,68.194.157.0,66,Desktop,5
6,Matthew Kelley,charlesmcknight@example.org,001-553-345-5144,Harvard,BSIT,2.78,2025-05-21 10:40:22,194.162.16.124,56,Desktop,4
7,Kelly Pollard,nsimpson@example.org,(519)800-4150x435,IU,BSAI,2.45,2025-05-17 12:18:30,135.138.188.81,99,Desktop,4
8,Jonathan Zamora,smithkenneth@example.org,6126284425,FAST,BSE,3.29,2025-05-12 13:54:39,103.189.248.148,68,Desktop,4
9,Matthew Murray,michaelfletcher@example.org,3023974266,SMIU,BSCS,2.44,2025-05-20 23:48:06,163.248.151.151,93,Desktop,0
10,Anna Hood,williamskathryn@example.net,577-302-0045x885,NED,BSAI,3.63,2025-05-15 05:41:01,202.98.83.128,72,Desktop,3
11,Joshua Kemp,lewisanthony@example.org,284.453.9425x415,Harvard,BSCS,2.21,2025-05-26 04:12:55,165.55.127.7,81,Mobile,1
12,Monica Ochoa,lauren70@example.org,+1-384-465-8223,FAST,BSCS,2.82,2025-05-08 11:01:49,199.30.143.214,53,Desktop,4
13,Ryan Owens,teresa23@example.net,+1-284-771-6156x379,SMIU,BSIT,2.62,2025-05-22 08:31:44,174.115.182.210,75,Mobile,1
14,Sean Hess,alexis92@example.com,+1-646-296-0295x6542,NED,BSE,3.12,2025-05-04 14:47:30,169.3.90.216,82,Mobile,2
15,James Dean,debra55@example.org,677.767.7550x47116,SMIU,BSCS,3.4,2025-05-11 12:53:27,209.207.152.156,64,Desktop,2
16,Patricia Oneill,xboyer@example.net,216.460.3335x259,MIT,BSCS,3.57,2025-05-04 15:20:30,43.135.54.11,51,Desktop,5
17,Angela Armstrong,miranda31@example.org,877-411-8223,MIT,BSIT,2.49,2025-05-02 11:00:43,39.194.232.213,70,Desktop,0
18,Jessica Daniel,andrewmartin@example.com,987-787-5206x77026,MIT,BSAI,3.98,2025-05-10 00:23:13,30.174.12.255,79,Desktop,4
19,Andrew Brooks,savagepatricia@example.org,6344949341,NED,BSCS,2.78,2025-05-23 17:00:27,199.180.6.75,53,Mobile,2
20,Jason Mendez,veronica88@example.com,543.759.2037x14769,SMIU,BBA,3.48,2025-05-27 01:47:34,206.10.104.28,56,Desktop,3
21,Corey Booth,elizabethallen@example.net,+1-295-940-9563x25441,NED,BSAI,2.48,2025-05-04 23:44:54,70.107.213.127,52,Mobile,4
22,Adam Butler,birdpatrick@example.net,772.399.2581x3427,MIT,BSCS,3.97,2025-05-12 21:52:27,98.31.108.18,86,Mobile,3
23,Mark Cross,stacy43@example.org,+1-750-500-3677x30547,NED,BSIT,3.71,2025-05-02 15:35:37,209.245.123.120,50,Mobile,5
24,Travis Cohen,natalie02@example.net,425.523.7749x08060,NED,BSAI,2.04,2025-05-01 10:26:32,115.29.113.34,75,Mobile,5
25,Caleb Nichols,colejudith@example.net,001-529-753-0429x9113,SMIU,BBA,4.0,2025-05-13 21:14:01,98.45.12.31,52,Mobile,3
26,Linda Wilson,elizabeth74@example.net,001-275-851-8258x1352,SMIU,BBA,3.82,2025-05-20 18:36:44,119.149.14.165,61,Mobile,2
27,Angela Williams,steven23@example.com,+1-501-713-9122,FAST,BSE,2.24,2025-05-25 00:45:22,156.81.89.165,89,Desktop,0
28,Erin Lee,paul98@example.com,001-312-904-3437x5647,SMIU,BSE,3.64,2025-05-02 17:51:05,195.243.227.141,88,Desktop,5
